ticker,open_day_price,first_day_pop,return_1d,return_30d,return_90d,return_180d
MNPR,132.5,21.0833,0.0189,-0.4294,-0.7223,-0.7917
BILL,35.5,0.6136,0.098,0.3594,0.3149,1.7882
XP,30.715621948242188,-0.2773,0.0052,0.0914,-0.2449,0.4434
CAN,8.989999771118164,7.99,-0.0011,-0.3526,-0.673,-0.762
SITM,18.649999618530273,-0.4774,-0.0322,0.1866,0.0654,2.2777
TELA,13.350000381469727,-0.3612,-0.0375,-0.0824,-0.5079,-0.0667
GRTX,12.0,14.1899,0.0,0.1442,-0.4383,-0.3567
RAPT,104.0,14.2493,-0.0231,0.8246,0.2054,1.1615
CABA,10.0,4.0761,0.001,-0.089,0.435,0.19
PGNY,15.9399995803833,42.0811,0.0797,0.7447,0.5822,0.6223
PHAT,24.600000381469727,245999.0038,-0.0411,-0.0589,0.7065,0.2707
VIR,14.020000457763672,-0.6523,-0.0164,-0.0877,0.1598,1.9223
APRE,410.0,153.1353,-0.0698,0.319,0.6839,0.9302
MCBS,11.055107116699219,10.0551,-0.0067,0.0681,0.1532,0.0951
OPRT,16.170000076293945,9.9257,0.0056,0.0513,0.3203,-0.1812
PTON,25.760000228881836,2.839,-0.0202,-0.1215,0.2694,0.9387
DDOG,37.54999923706055,7.1987,-0.0373,-0.1055,0.1696,1.0383
XGN,17.110000610351562,1710.0001,-0.0064,-0.1198,0.3735,-0.2531
NVST,27.950000762939453,17.6333,0.0018,0.0791,0.1295,-0.1646
ALRS,17.83534812927246,16.8353,0.0159,-0.0155,-0.0175,-0.1354
NET,18.0,6.9295,0.035,-0.1017,0.0094,0.6778
TXG,52.75,-0.5039,-0.0091,0.0772,0.7405,0.5536
AMTD,60.540000915527344,59.54,-0.0208,-0.1278,-0.1576,-0.218
KRUS,19.610000610351562,7.7937,0.2443,0.0076,0.2794,-0.4753
SNDL,84.80000305175781,45.087,0.2323,0.0318,-0.73,-0.9316
BORR,18.008663177490234,-0.2604,-0.0399,-0.3081,-0.3654,-0.9228
BHAT,229000.0,305332.3333,-0.059,-0.3035,-0.4105,-0.8229
CSTL,21.399999618530273,-0.495,0.0743,0.1874,0.265,0.3336
HCAT,39.16999816894531,6.4468,-0.0222,-0.0715,-0.0301,-0.3301
AFYA,23.538854598999023,-0.2206,-0.012,-0.0816,0.142,-0.1961
IFS,34.292236328125,-0.2206,-0.0277,-0.15,-0.1623,-0.4936
FULC,13.5,-0.2059,-0.0704,-0.1911,0.0385,-0.3252
IHRT,16.5,16499.0,-0.0121,-0.1685,-0.0818,-0.7048
MIRM,13.210000038146973,1.6526,0.022,-0.025,-0.464,-0.0401
PHR,25.079999923706055,0.3933,-0.0431,0.075,0.1543,-0.2608
RMBI,10.714649200439453,0.0715,-0.0044,-0.0293,0.0176,-0.2747
REAL,28.899999618530273,16.4096,-0.0813,-0.3813,-0.3298,-0.7377
ADPT,40.29999923706055,14.2652,0.1985,0.033,-0.2442,-0.5792
GO,28.510000228881836,2.927,0.0032,0.3592,0.0838,0.1491
PSNL,28.489999771118164,30.4841,0.0618,-0.4458,-0.6174,-0.7455
STOK,25.56999969482422,158.8125,0.0168,0.0031,-0.025,-0.0086
FVRR,39.900001525878906,2.6876,-0.2108,-0.3684,-0.4835,-0.1393
CRWD,58.0,13.9871,0.1648,0.591,-0.189,0.0283
GOTU,10.479999542236328,-0.0019,-0.0458,-0.0134,0.3655,3.334
BCYC,12.0,11.0,0.0875,-0.2575,-0.0767,0.0817
IDYA,11.1899995803833,19.3455,0.0054,-0.2717,-0.1886,-0.3986
FSLY,23.989999771118164,-0.3927,0.0108,-0.1467,0.1059,-0.0517
LKNCY,20.3799991607666,-0.4081,-0.0868,-0.0608,-0.0005,0.7782
JFIN,12.66061782836914,11.6606,-0.0613,-0.1337,-0.1387,-0.7703
SONM,19782.0,26375.0,0.0027,0.2357,-0.7161,-0.6797
UBER,41.56999969482422,3.5782,-0.1075,0.0366,-0.1758,-0.1097
NXTC,238.8000030517578,5.1199,-0.0201,-0.2653,1.0121,1.2412
QNCX,32.88999938964844,-0.3422,-0.2746,0.0912,-0.1934,0.6601
SPFI,15.968864440917969,14.9689,0.0181,-0.0254,-0.0803,0.2364
TRVI,7.889999866485596,0.7078,0.0431,0.2041,-0.4081,-0.3676
RRBI,48.21285629272461,2.2467,-0.037,-0.0484,-0.1423,0.1039
BYND,65.75,1.63,0.0158,1.3039,1.2342,0.6596
TMDX,22.360000610351562,42.8431,0.1091,0.1637,0.0443,-0.1185
WAFU,4.099999904632568,-0.18,0.1293,-0.3073,-0.3098,-0.3805
HOOK,140.0,5.2112,0.0,-0.4264,-0.4793,-0.1271
PINS,24.399999618530273,2439998.9619,0.0242,0.0,0.3877,-0.225
ZM,62.0,40.8919,0.0597,0.2242,0.4795,0.1342
BWAY,5.545000076293945,0.1046,0.0144,-0.0739,-0.0676,-0.0804
PLMR,18.989999771118164,-0.4797,-0.0258,0.2217,0.7846,1.5656
PD,38.25,8.4678,0.0327,0.3911,-0.098,-0.3906
TW,34.66328811645508,0.2838,0.0215,0.2089,0.2724,0.3141
LYFT,78.29000091552734,15.9093,-0.1185,-0.385,-0.2299,-0.4029
DTIL,523.2000122070312,222.5897,0.0292,-0.2517,-0.3412,-0.4398
LEVI,19.342554092407227,18.3426,-0.0129,0.0089,-0.1602,-0.2269
FUTU,14.967085838317871,13.9671,0.0966,-0.0189,-0.2591,-0.2728
SLE,90720.0,40319.0,-0.1249,-0.2952,-0.127,-0.6741
AREC,4.239999771118164,42398.9977,-0.0566,0.0,-0.3137,-0.8259
BACK,110.4000015258789,1103999.0153,0.0217,0.3179,0.1226,-0.2851
GOSS,17.940000534057617,26.6,0.0234,0.2319,0.2441,0.0401
ALEC,18.079999923706055,-0.0484,-0.0985,-0.0017,0.0802,-0.1178
INMB,7.989999771118164,0.0244,-0.0262,-0.005,0.3116,-0.3805
NFE,11.476088523864746,10.4761,0.0673,-0.2135,-0.2617,0.3604
RBKB,11.75,0.175,-0.0117,0.0,-0.0698,-0.1064
BCOW,9.600000381469727,-0.04,0.0417,0.0,-0.0204,0.0115
MTC,,,,,,
SXTC,86100.0,10273.463,0.0645,-0.0714,-0.2491,-0.6341
MRM,15.109999656677246,-0.9579,-0.0172,-0.1158,-0.368,-0.5103
IKT,59.400001525878906,34.3571,-0.0101,-0.2273,-0.4575,-0.7758
MASS,49.0,0.2915,0.0308,0.3535,0.0814,-0.2473
BCAB,31.020000457763672,0.1079,0.1335,0.4349,0.8108,0.3256
LOGC,601.5,74.1875,0.1107,0.5556,-0.2424,-0.6389
UPST,29.469999313354492,-0.7903,0.2138,1.3838,2.8599,7.3912
OCG,6416.66650390625,1603.1666,0.0167,-0.25,0.0583,-0.2217
ABCL,58.900001525878906,38.7973,-0.1509,-0.2046,-0.502,-0.7151
CERT,38.08000183105469,0.6557,-0.1179,-0.13,-0.183,-0.1184
FDMT,40.5,0.2295,0.0,0.062,-0.1593,-0.2457
VVOS,224.75,57.6815,-0.1335,-0.218,-0.1491,-0.4149
ABNB,144.7100067138672,23.2802,-0.0377,0.3319,0.1797,0.0782
HYFM,519.9000244140625,7.8119,-0.071,0.4628,0.2464,-0.0614
AI,92.48999786376953,162.4388,0.4056,0.5983,-0.2809,-0.4531
DASH,189.50999450683594,77.6349,-0.0185,0.0121,-0.2437,-0.0083
PUBM,29.450000762939453,4.5671,-0.0713,0.2856,0.583,-0.0862
SEER,56.459999084472656,-0.275,0.0793,0.4888,-0.0994,-0.3732
YQ,211.39999389648438,65.6541,0.1457,0.7181,-0.4059,-0.8884
VMAR,779760.0,90416.4397,-0.0159,-0.0762,-0.464,-0.536
SHC,25.100000381469727,0.0913,0.1135,0.0283,0.0171,-0.0211
OLMA,49.0,31.8859,-0.002,-0.1363,-0.2982,-0.4708
TLS,20.290000915527344,19.29,-0.0606,0.5806,0.7408,0.4135
AVIR,30.34000015258789,19.0927,-0.0198,0.0231,1.2367,-0.1688
ALGM,17.700000762939453,0.2643,0.0339,0.4734,0.5232,0.4695
LESL,434.0,22.8331,0.0124,-0.0641,0.118,0.1673
ACIC,3.8012664318084717,-0.3717,-0.0088,0.0376,0.7642,0.0042
BDSX,256.20001220703125,221.7826,0.0031,0.2248,0.5722,-0.1483
MAX,31.860000610351562,0.6768,0.0311,0.2021,0.8465,0.0377
ROOT,486.0,288.5442,-0.0444,-0.4807,-0.5741,-0.7052
FHTX,18.1200008392334,6.9474,-0.0508,0.213,-0.2434,-0.4939
ALGS,371.25,12.8578,-0.0061,0.2599,0.9354,0.1071
PRAX,417.0,13.861,-0.0198,0.4914,0.5647,-0.3058
TARS,20.579999923706055,92.5455,0.069,0.1744,0.7614,0.3989
EBC,10.62460994720459,0.0625,-0.0198,0.2123,0.4798,0.6212
IH,14.336845397949219,13.3368,0.4025,0.6125,0.2369,-0.35
IPOD,,,,,,
SPRB,95625.0,455356.1429,0.0147,0.5624,0.1565,-0.3471
STTK,19.350000381469727,-0.1079,-0.0181,0.6837,1.3623,0.386
ELUT,14.5,30.5217,-0.0662,-0.1531,0.0759,-0.2717
FUBO,10.260000228881836,1.2065,-0.0185,1.1637,3.116,2.2963
ASO,12.582319259643555,-0.1722,0.0123,0.2833,0.9523,2.1263
CCCC,25.489999771118164,0.4083,0.0424,0.0133,0.7866,0.5041
IMNM,13.449999809265137,0.7004,-0.1004,-0.148,0.7301,0.2506
AVO,,,,,,
LUNG,39.310001373291016,230.2353,0.0659,0.1765,0.478,0.1
THRY,11.074999809265137,-0.5459,0.2993,-0.0718,1.0135,1.8876
ASAN,28.799999237060547,10.0058,-0.0927,-0.2517,0.3497,1.0069
CD,2.4222218990325928,1100.01,-0.0138,0.1193,1.4128,1.7706
PLTR,9.5,1.0474,-0.0042,0.68,3.0179,1.6705
AMST,62.63999938964844,5.3659,-0.0824,-0.2107,0.1877,-0.4885
GLSI,5.0,-0.8932,-0.018,-0.223,6.614,6.946
PMVP,37.5099983215332,74.02,-0.0352,-0.0136,-0.0091,-0.081
PRLD,26.200000762939453,-0.6338,0.0607,0.6744,2.0382,0.2302
TSHA,24.059999465942383,0.4824,0.017,-0.1405,0.219,0.069
BSY,32.71664810180664,-0.1141,-0.0445,0.0573,0.3419,0.9084
CRSR,14.25,1.5676,0.0933,0.8653,1.687,1.2709
GDRX,50.5,9.499,-0.0752,0.0,0.0135,-0.2717
LSF,40.79999923706055,4.9475,-0.0809,0.1699,0.0662,-0.2194
CMPS,29.0,4.1693,-0.0059,0.1034,0.5162,0.2486
U,68.3499984741211,8.4537,0.0674,0.3881,1.2557,0.4345
AMWL,461.3999938964844,110.4493,-0.0069,0.1812,0.8552,-0.4109
DYN,23.899999618530273,-0.1646,-0.046,-0.1778,-0.2301,-0.1757
FROG,64.79000091552734,15.3199,-0.0051,0.1489,0.0775,-0.3193
SNOW,253.92999267578125,342.1486,-0.1039,0.0729,0.1065,-0.0448
STEP,21.973386764526367,0.2207,-0.01,0.016,0.4596,0.2625
OM,910.2000122070312,15.0162,-0.0107,-0.1915,-0.1033,-0.2482
PRFX,2022.0,179.3747,-0.0356,-0.3249,-0.3858,-0.635
GP,210.0,15.8,-0.0595,-0.3995,0.5433,-0.2281
XPEV,21.219999313354492,0.4147,0.074,-0.0575,0.943,0.2309
KYMR,33.2599983215332,8.3955,-0.1449,-0.156,1.1603,0.353
NNOX,21.700000762939453,0.3563,0.2304,0.8203,1.2373,-0.0184
HRMY,37.0099983215332,36.01,-0.0246,-0.1146,-0.0311,-0.251
BEKE,35.39176559448242,-0.512,-0.1186,0.5216,0.7847,0.3785
IBEX,15.399999618530273,0.375,0.1136,-0.3662,0.2799,0.5818
FTHM,10.029999732971191,9.03,-0.003,0.6929,1.7886,2.1236
VITL,35.2599983215332,4.5791,0.0666,0.0389,-0.2535,-0.2978
LI,16.459999084472656,-0.5278,-0.0279,-0.0152,0.9131,0.1695
ANNX,17.760000228881836,27.6452,-0.0146,0.4127,0.4015,0.2979
NRIX,19.010000228881836,-0.4756,0.0295,0.3298,1.2662,0.3972
EDTK,4.75,-0.05,-0.0611,-0.1895,-0.3411,-0.3432
MEG,22.0,0.4667,0.0177,0.3282,0.245,1.4036
ALXO,30.0,0.5789,0.011,0.475,1.7427,1.487
NKTX,47.900001525878906,47.8776,-0.1958,-0.4582,-0.2996,-0.3046
QH,114930.0,114929.0,-0.0282,-0.2882,-0.4511,-0.5309
ADTX,91484798976.0,5940571362076.922,-0.1008,-0.0731,-0.5889,-0.3478
API,50.5,504999.0,-0.0693,-0.2574,-0.2343,0.2341
EBON,150.0,27.6807,-0.1,-0.044,0.694,1.09
PYPD,570.0,117.0124,-0.0005,-0.2521,-0.4684,-0.46
BNR,246.3000030517578,13.9273,-0.0577,0.097,0.1352,0.4767
PCVX,26.149999618530273,21.3504,0.0906,0.1992,0.6562,-0.008
LTRN,14.949999809265137,1.392,-0.0134,-0.1599,0.1766,0.2649
FOUR,33.540000915527344,0.4583,0.048,0.1345,0.7352,1.4225
LEGN,37.0,3.7485,-0.0243,-0.0454,-0.1995,-0.2495
PLRX,21.299999237060547,31.2727,0.0967,0.1488,0.1418,0.5568
ADCT,,,,,,
KC,23.84000015258789,-0.3835,0.0893,0.1233,0.6367,1.2122
LYRA,928.0,5.9435,-0.042,-0.2462,-0.3281,-0.3621
ORIC,25.770000457763672,2.0246,0.0113,0.4695,-0.0035,0.2332
ZNTL,23.200000762939453,-0.4143,0.0513,0.7091,0.4034,1.2034
WIMI,55.0,5.1384,-0.02,-0.1891,0.5091,0.1164
ELVN,60.0,81.1918,0.0667,0.068,0.25,0.866
PASG,444.0,14.7224,-0.0315,-0.1532,0.1014,-0.2491
RVMD,28.899999618530273,-0.3142,-0.0204,-0.2221,0.2125,0.091
SDOT,386.0,385999.0,0.0233,-0.4948,-0.2979,-0.5803
ONEW,14.50252628326416,-0.4379,-0.035,-0.6684,0.4769,0.3203
BEAM,18.75,-0.2993,0.0997,0.0347,0.44,0.8939
