ticker,cik,accession_number,filing_date
INDO,1757840.0,0001493152-22-006410,2022-03-09
MNPR,1645469.0,0001654954-19-009689,2019-08-15
SPT,1517375.0,0001628280-20-012343,2020-08-10
BILL,1786352.0,0001193125-20-163549,2020-06-08
EH,1759783.0,0001193125-19-280594,2019-10-31
XP,1787425.0,0001193125-20-305583,2020-11-30
PINE,1786117.0,,
CAN,1780652.0,0001193125-19-276263,2019-10-28
SITM,1451809.0,0001193125-20-164681,2020-06-09
CNSP,1729427.0,0001683168-25-002548,2025-04-14
KRKR,1779476.0,0001047469-19-005518,2019-09-30
TELA,1561921.0,0001104659-20-076043,2020-06-23
GRTX,1563577.0,0001193125-19-266859,2019-10-11
DUO,1750593.0,0001193125-19-264482,2019-10-08
RAPT,1673772.0,0001193125-20-024342,2020-02-04
CABA,1759138.0,0001193125-19-258869,2019-09-30
DAO,1781753.0,0001193125-19-258627,2019-09-30
PAVS,1751876.0,0001213900-19-003852,2019-03-08
PGNY,1551306.0,0001047469-19-005487,2019-09-27
PHAT,1783183.0,0001193125-19-258922,2019-09-30
BRBR,1772016.0,0001193125-19-250692,2019-09-20
IPHA,1598599.0,0001193125-19-250682,2019-09-20
HBT,775215.0,0001047469-19-005227,2019-09-13
VIR,1706431.0,0001193125-20-187304,2020-07-06
BNTX,1776985.0,0001193125-20-195916,2020-07-21
APRE,1781983.0,0001047469-19-005057,2019-09-06
KRRO,1703647.0,0001193125-24-138296,2024-05-14
MCBS,1747068.0,0001144204-19-043430,2019-09-04
OPRT,1538716.0,0001193125-19-195573,2019-07-17
PTON,1639825.0,0001193125-19-230923,2019-08-27
DDOG,1561550.0,0001193125-19-227783,2019-08-23
XGN,1274737.0,0001193125-19-228011,2019-08-23
NVST,1757073.0,0001757073-19-000010,2019-07-22
ALRS,903419.0,0001047469-19-004787,2019-08-16
NET,1477333.0,0001193125-19-222176,2019-08-15
TXG,1770787.0,0001193125-20-240997,2020-09-08
JFU,1619544.0,0001104659-21-135044,2021-11-05
BTOG,1735556.0,0001410578-25-001881,2025-08-25
INMD,1742692.0,0001144204-19-034453,2019-07-11
AMTD,1769731.0,0001047469-19-003754,2019-06-20
DT,1773383.0,0001628280-20-008710,2020-06-01
KRUS,1772177.0,0001193125-19-189268,2019-07-03
SNDL,1766600.0,0001193125-20-193964,2020-07-16
BORR,1715497.0,0001140361-19-012751,2019-07-10
BHAT,1759136.0,0001731122-26-000202,2026-02-09
VIST,1762506.0,0001193125-19-188268,2019-07-02
CSTL,1447362.0,0001140361-20-014466,2020-06-22
HCAT,1636422.0,0001628280-19-008426,2019-06-27
EIC,1754836.0,,
AFYA,1771007.0,0001047469-20-000687,2020-02-04
IFS,1615903.0,0001193125-19-189288,2019-07-03
FULC,1680581.0,0001193125-20-175588,2020-06-22
IHRT,1400891.0,0001193125-19-096030,2019-04-03
MIRM,1759425.0,0001193125-20-002291,2020-01-06
OBDC,1655888.0,,
PHR,1412408.0,0001193125-19-310268,2019-12-10
DOYU,1762417.0,0001047469-19-002447,2019-04-22
RMBI,1767837.0,0001144204-19-013196,2019-03-11
REAL,1573221.0,0001193125-19-163007,2019-05-31
ADPT,1478320.0,0001193125-20-011067,2020-01-21
BBIO,1743881.0,0001193125-19-157100,2019-05-24
CMBM,1738177.0,0001193125-19-159473,2019-05-29
GO,1771515.0,0001193125-20-112155,2020-04-20
PSNL,1527753.0,0001193125-19-155338,2019-05-23
STOK,1623526.0,0001193125-19-155301,2019-05-23
CHWY,1766502.0,0001193125-19-124430,2019-04-29
FVRR,1762301.0,0001047469-20-003206,2020-05-26
CRWD,1535527.0,0001047469-19-003095,2019-05-14
RVLV,1746618.0,0001564590-18-023704,2018-09-28
GOTU,1768259.0,0001193125-19-294656,2019-11-18
BCYC,1761612.0,0001047469-19-002638,2019-04-26
IDYA,1676725.0,0001193125-19-122586,2019-04-26
AVTR,1722482.0,0001193125-20-145043,2020-05-18
FSLY,1517413.0,0001628280-20-007961,2020-05-18
LKNCY,1767582.0,0001047469-20-000079,2020-01-07
PSTL,1759774.0,,
JFIN,1743102.0,0001193125-18-353025,2018-12-19
SONM,1178697.0,0001493152-25-016055,2025-09-29
UBER,1543151.0,0001193125-19-103850,2019-04-11
MEC,1766368.0,0001193125-19-105164,2019-04-12
NXTC,1661059.0,0001047469-19-006237,2019-11-12
QNCX,1662774.0,0001193125-20-100556,2020-04-07
SPFI,1163668.0,0001140361-19-007042,2019-04-12
PSN,275880.0,0001193125-19-105051,2019-04-12
TRVI,1563880.0,0001193125-21-259333,2021-08-27
RRBI,1071236.0,0001564590-19-011263,2019-04-10
YJ,1759614.0,0001193125-19-082092,2019-03-21
BYND,1655210.0,0001628280-19-009137,2019-07-29
SY,1758530.0,0001193125-19-100390,2019-04-08
TMDX,1756262.0,0001193125-19-099213,2019-04-05
WAFU,1716770.0,0001213900-18-003224,2018-03-20
GNLN,1743745.0,0001493152-25-011166,2025-03-21
HOOK,1760542.0,0001047469-19-001538,2019-03-22
PINS,1506293.0,0001193125-19-083544,2019-03-22
ZM,1585521.0,0001193125-19-083351,2019-03-22
BWAY,1505065.0,0001047469-19-000119,2019-01-14
PLMR,1761312.0,0001047469-20-000074,2020-01-07
JMIA,1756708.0,0001193125-19-071692,2019-03-12
PD,1568100.0,0001628280-19-003003,2019-03-15
TW,1758730.0,0001104659-20-048747,2020-04-20
LYFT,1759509.0,0001193125-19-059849,2019-03-01
DTIL,1357874.0,0001193125-19-061192,2019-03-01
LEVI,94845.0,0001193125-19-037135,2019-02-13
TIGR,1756699.0,0001047469-19-000627,2019-02-22
FUTU,1754581.0,0001193125-18-361084,2018-12-28
SLE,1621672.0,0001654954-20-009427,2020-08-21
AREC,1590715.0,0001477932-25-007760,2025-10-28
HOTH,1711786.0,0001213900-24-032207,2024-04-11
BACK,1729944.0,0001493152-24-023706,2024-06-13
GOSS,1728117.0,0001193125-18-356444,2018-12-21
ALEC,1653087.0,0001193125-20-015336,2020-01-27
INMB,1711754.0,0001640334-19-001410,2019-07-18
NFE,1749723.0,0001140361-18-042889,2018-11-09
RBKB,1751783.0,0001104659-26-027671,2026-03-13
BCOW,1847360.0,0001193125-21-077566,2021-03-11
MTC,1742518.0,0001213900-18-014224,2018-10-22
SXTC,1723980.0,0001213900-19-009831,2019-05-30
MRM,1819704.0,0001104659-24-092501,2024-08-23
IKT,1750149.0,0001193125-24-163529,2024-06-18
MASS,1555279.0,0001104659-21-135625,2021-11-08
BCAB,1826892.0,0001193125-21-305435,2021-10-22
LOGC,2064307.0,0001140361-26-001549,2026-01-20
UPST,1647639.0,0001193125-21-107766,2021-04-06
OCG,1776067.0,0001213900-19-022984,2019-11-12
WNW,1787803.0,0001493152-25-024068,2025-11-18
ABCL,1703057.0,0001193125-21-187930,2021-06-10
CERT,1827090.0,0001104659-21-139255,2021-11-15
FDMT,1650648.0,0001193125-21-308105,2021-10-26
NBTX,1760854.0,0001140361-20-026217,2020-11-20
VVOS,1716166.0,0001493152-25-003115,2025-01-22
ABNB,1559720.0,0001193125-20-294801,2020-11-16
HYFM,1695295.0,0001104659-21-078815,2021-06-09
AI,1577526.0,0001628280-20-016443,2020-11-13
DASH,1792789.0,0001193125-20-292381,2020-11-13
PUBM,1422930.0,0001628280-20-016438,2020-11-13
SEER,1726445.0,0001628280-21-000787,2021-01-25
YQ,1821468.0,0001193125-20-293052,2020-11-13
DCBO,1829959.0,,
VMAR,1813783.0,0001104659-25-118702,2025-12-05
MRVI,1823239.0,0001193125-21-266593,2021-09-07
SHC,1822479.0,0001193125-21-081383,2021-03-15
OLMA,1750284.0,0001104659-20-119971,2020-10-30
TLS,320121.0,0001140361-20-022542,2020-10-06
YSG,1819580.0,0001193125-20-282237,2020-10-30
AVIR,1593899.0,0001193125-20-267199,2020-10-09
LU,1816007.0,0001193125-20-265571,2020-10-07
ALGM,866291.0,0001193125-21-025893,2021-02-02
LESL,1821806.0,0001193125-21-270777,2021-09-13
ACIC,1401521.0,0001193125-12-431562,2012-10-23
BDSX,1439725.0,0001193125-24-107051,2024-04-23
MAX,1818383.0,0001193125-21-082765,2021-03-16
ROOT,1788882.0,0001628280-20-014305,2020-10-05
FHTX,1822462.0,0001193125-20-262469,2020-10-02
ALGS,1799448.0,0001193125-21-201893,2021-06-28
PRAX,1689548.0,0001193125-21-157601,2021-05-11
TARS,1819790.0,0001193125-20-254758,2020-09-25
ARRY,1820721.0,0001193125-22-150149,2022-05-13
EBC,1810546.0,0001193125-20-172003,2020-06-18
MNSO,1815846.0,0001193125-20-252342,2020-09-23
IH,1814423.0,0001047469-20-004786,2020-09-08
INTZ,736012.0,0001683168-24-004956,2024-07-19
IPOD,2041047.0,0001213900-25-021721,2025-03-07
SPRB,1683553.0,0001193125-20-249221,2020-09-18
STTK,1680367.0,0001193125-20-249204,2020-09-18
ELUT,1708527.0,0001104659-20-104884,2020-09-14
FUBO,1484769.0,0001493152-20-020255,2020-10-30
SQFT,1080657.0,,
ASO,1817358.0,0001140361-21-031008,2021-09-13
CCCC,1662579.0,0001193125-21-190020,2021-06-14
IMNM,1472012.0,0001104659-21-064661,2021-05-11
AVO,1802974.0,0001193125-20-239418,2020-09-04
LUNG,1127537.0,0001628280-20-013340,2020-09-04
LXEH,1814067.0,0001213900-24-103809,2024-11-29
THRY,1556739.0,0001140361-21-018534,2021-05-24
ASAN,1477720.0,0001193125-20-228462,2020-08-24
BQ,1815021.0,0001013762-25-004315,2025-03-31
CD,1527762.0,0001104659-23-066116,2023-05-30
PLTR,1321655.0,0001193125-20-230013,2020-08-25
YALA,1794350.0,0001193125-20-240880,2020-09-08
AMST,1807166.0,0001213900-23-019694,2023-03-14
GLSI,1799788.0,0001493152-20-023661,2020-12-15
PMVP,1699382.0,0001193125-20-240132,2020-09-04
PRLD,1678660.0,0001193125-21-000946,2021-01-04
TSHA,1806310.0,0001193125-20-238197,2020-09-02
BSY,1031308.0,0001104659-20-123588,2020-11-10
CRSR,1743759.0,0001193125-21-011458,2021-01-19
GDRX,1809519.0,0001193125-20-234662,2020-08-28
LSF,1650696.0,0001193125-20-236395,2020-08-31
CMPS,1816590.0,0001628280-21-007756,2021-04-27
U,1810806.0,0001193125-20-227862,2020-08-24
AMWL,1393584.0,0001193125-21-007257,2021-01-12
BNL,1424182.0,,
DYN,1818794.0,0001193125-21-010863,2021-01-19
FROG,1800667.0,0001193125-20-228195,2020-08-24
SNOW,1640147.0,0001628280-20-013010,2020-08-24
STEP,1796022.0,0001193125-21-082800,2021-03-16
OM,1484612.0,0001193125-21-107588,2021-04-06
LSPD,1823306.0,,
PRFX,1801834.0,0001178913-24-000788,2024-03-01
GP,1584547.0,0001062993-26-001066,2026-02-19
XPEV,1810997.0,0001193125-21-196858,2021-06-23
KYMR,1815442.0,0001193125-21-202051,2021-06-28
NNOX,1795251.0,0001140361-21-003760,2021-02-08
HRMY,1802665.0,0001193125-20-199773,2020-07-27
INBX,2007919.0,0002007919-24-000011,2024-06-11
BEKE,1809587.0,0001047469-20-005501,2020-11-16
NTST,1798100.0,,
IBEX,1720420.0,0001140361-20-015829,2020-07-10
RKT,1805284.0,0001047469-20-004008,2020-07-07
FTHM,1753162.0,0001104659-20-005188,2020-01-17
NHIC,2043699.0,0001213900-25-000455,2025-01-02
