IPO Date,Symbol,Company Name,IPO Price,Current,Return,year
2019-12-30,MKDTY,Molecular Data Inc.,$5.38,-,-100.00%,2019
2019-12-19,INDO,Indonesia Energy Corporation Limited,$11.00,$4.59,-58.82%,2019
2019-12-19,MNPR,Monopar Therapeutics Inc.,$8.00,$60.36,654.50%,2019
2019-12-13,CIIC,CIIG Merger,$10.00,$21.60,116.00%,2019
2019-12-13,HCCO,Healthcare Merger Corp,$10.00,$8.97,-10.30%,2019
2019-12-13,OCFT,OneConnect Financial Technology Co. Ltd.,$10.00,$7.89,-21.10%,2019
2019-12-13,SPT,"Sprout Social, Inc.",$17.00,$5.86,-65.53%,2019
2019-12-12,BILL,"BILL Holdings, Inc.",$22.00,$39.79,80.86%,2019
2019-12-12,EH,EHang Holdings Limited,$12.50,$11.85,-5.20%,2019
2019-12-11,LIVK,LIV Capital Acquisition Corp.,$10.00,$10.30,3.00%,2019
2019-12-11,XP,XP Inc.,$27.00,$18.20,-32.59%,2019
2019-12-05,LMPX,"LMP Automotive Holdings, Inc.",$5.00,$0.35,-93.00%,2019
2019-11-26,ALUS,Alussa Energy Acquisition Corp.,$10.00,$9.50,-5.00%,2019
2019-11-22,CHPM,CHP Merger Corp.,$10.00,$10.18,1.80%,2019
2019-11-22,PINE,"Alpine Income Property Trust, Inc.",$19.00,$18.44,-2.95%,2019
2019-11-22,PTAC,PropTech Acquisition Corp.,$10.00,$14.81,48.10%,2019
2019-11-21,CAN,Canaan Inc.,$9.00,$0.48,-94.62%,2019
2019-11-21,GRNV,Greenvision Acquisition Corp.,$10.00,$8.14,-18.60%,2019
2019-11-21,SITM,SiTime Corporation,$13.00,$326.13,"2,408.69%",2019
2019-11-20,AMHC,Amplitude Healthcare Acquisition Corp.,$10.00,$15.12,51.20%,2019
2019-11-20,SAQN,Software Acquisition Group,$10.00,$10.10,1.00%,2019
2019-11-13,YAYO,"EVmo, Inc.",$4.00,-,-100.00%,2019
2019-11-11,ETNB,"89bio, Inc.",$16.00,$14.84,-7.25%,2019
2019-11-08,CNSP,"CNS Pharmaceuticals, Inc.",$4.00,$2.44,-39.00%,2019
2019-11-08,JIH,"Juniper Industrial Holdings, Inc.",$10.00,$13.19,31.90%,2019
2019-11-08,KRKR,36Kr Holdings Inc.,$14.50,$3.23,-77.72%,2019
2019-11-08,MOHOY,ECMOHO Limited,$10.00,-,-,2019
2019-11-08,SRAC,Stable Road Acquisition Corp.,$10.00,$10.97,9.70%,2019
2019-11-08,TELA,"TELA Bio, Inc.",$13.00,$0.74,-94.31%,2019
2019-11-07,CNTG,Centogene N.V.,$14.00,-,-,2019
2019-11-07,DFNS,LGL Systems Acquisition,$10.00,$13.84,38.40%,2019
2019-11-07,GRTX,"Galera Therapeutics, Inc.",$12.00,$0.07,-99.44%,2019
2019-11-07,SICP,Silvergate Capital Corporation,$12.00,$1.19,-90.08%,2019
2019-11-05,MCMJ,Merida Merger Corp. I,$10.00,$6.53,-34.70%,2019
2019-11-05,XHG,XChange TEC.INC,-,$0.82,-,2019
2019-11-01,DUO,Fangdd Network Group Ltd.,$13.00,$1.13,-91.31%,2019
2019-11-01,FSRV,Finserv Acquisition Corp,$10.00,$14.52,45.20%,2019
2019-11-01,SFTW,Osprey Technology Acquisition Corp.,$10.00,$11.41,14.10%,2019
2019-10-31,OYST,"Oyster Point Pharma, Inc.",$16.00,$11.17,-30.19%,2019
2019-10-31,RAPT,"Rapt Therapeutics, Inc.",$12.00,$58.02,383.42%,2019
2019-10-25,CABA,"Cabaletta Bio, Inc.",$11.00,$3.06,-72.18%,2019
2019-10-25,DAO,"Youdao, Inc.",$17.00,$10.02,-41.06%,2019
2019-10-25,PAIYY,Aesthetic Medical International Holdings Group Ltd.,-,$0.20,-,2019
2019-10-25,PAVS,Paranovus Entertainment Technology Ltd.,$5.50,$1.62,-68.00%,2019
2019-10-25,PGNY,"Progyny, Inc.",$13.00,$17.50,34.62%,2019
2019-10-25,PHAT,"Phathom Pharmaceuticals, Inc.",$19.00,$10.37,-45.42%,2019
2019-10-25,TFFP,TFF Group,$5.00,$0.07,-98.70%,2019
2019-10-24,BWIN,"The Baldwin Insurance Group, Inc.",-,$21.06,-,2019
2019-10-18,GLEO,Galileo Acquisition Corp.,$10.00,$8.54,-14.60%,2019
2019-10-18,LATN,Union Acquisition Corp. II,$10.00,$9.86,-1.40%,2019
2019-10-17,BRBR,"BellRing Brands, Inc.",$14.00,$16.83,20.21%,2019
2019-10-17,IPHA,Innate Pharma S.A.,$5.50,$1.50,-72.73%,2019
2019-10-11,HBT,"HBT Financial, Inc.",$16.00,$26.17,63.56%,2019
2019-10-11,VIR,"Vir Biotechnology, Inc.",$20.00,$9.26,-53.70%,2019
2019-10-10,BNTX,BioNTech SE,$15.00,$91.19,507.93%,2019
2019-10-03,APRE,"Aprea Therapeutics, Inc.",$15.00,$0.74,-95.09%,2019
2019-10-03,KRRO,"Korro Bio, Inc.",$14.00,$12.80,-8.57%,2019
2019-10-03,MCBS,"MetroCity Bankshares, Inc.",$13.50,$28.32,109.78%,2019
2019-10-03,VIE,Viela Bio,$19.00,$53.01,179.00%,2019
2019-09-26,OPRT,Oportun Financial Corporation,$15.00,$4.26,-71.60%,2019
2019-09-26,PTON,"Peloton Interactive, Inc.",$29.00,$3.71,-87.21%,2019
2019-09-19,DDOG,"Datadog, Inc.",$27.00,$124.52,361.19%,2019
2019-09-19,PING,Ping Identity Holding Corp.,$15.00,$28.50,90.00%,2019
2019-09-19,XGN,Exagen Inc.,$14.00,$3.05,-78.21%,2019
2019-09-18,IGMS,"IGM Biosciences, Inc.",$16.00,$1.27,-92.06%,2019
2019-09-18,NVST,Envista Holdings Corporation,$22.00,$24.61,11.86%,2019
2019-09-17,APXT,Apex Technology Acquisition Corp.,$10.00,$12.11,21.10%,2019
2019-09-13,ALRS,Alerus Financial Corporation,$21.00,$23.56,12.19%,2019
2019-09-13,EXPC,Experience Investment Corp.,$10.00,$8.70,-13.00%,2019
2019-09-13,NET,"Cloudflare, Inc.",$15.00,$212.45,"1,316.33%",2019
2019-09-13,STSA,"Satsuma Pharmaceuticals, Inc.",$15.00,$1.10,-92.67%,2019
